wave        tag
609.95      MgX609   
624.95      MgX624   
629.730      OV629   
765.148     NIV765   
770.409  NeVIII770   
780.324  NeVIII780   
787.711     OIV787   
809.668     SIV809   
832.927    OIII832   
834.4655    OII834   
858.0918    CII858   
859.723   FeIII859   
903.9616    CII903b  
911.7633     HILLS   
912.645      HI912a  
912.703      HI912b  
912.768      HI912c  
912.839      HI912d  
912.918      HI912e  
913.006      HI912a  
913.104      HI912b  
913.215      HI912c  
913.339      HI912d  
913.480      HI912e  
913.641      HI912f  
913.826      HI912g  
914.039      HI914a  
914.286      HI914b  
914.576      HI914c  
914.919      HI914d  
915.080      DI915a  
915.329      HI915a  
915.575      DI915b  
915.824      HI915b  
916.179      DI916   
916.429      HI916   
916.931      DI917   
917.1806     HI917   
917.879      DI918   
918.1294     HI918   
919.102      DI919   
919.3514     HI919   
920.712      DI920   
920.9631     HI920   
922.899      DI923   
923.1504     HI923   
925.9737     DI926   
926.2257     HI926   
930.4951     DI930   
930.7483     HI930   
933.378     SVI933   
937.5484     DI937   
937.8035     HI937   
944.523     SVI944   
949.4847     DI949   
949.7431     HI949   
972.2722     DI972   
972.5368     HI972   
977.020    CIII977   
989.799    NIII989   
1012.502   SIII1012  
1025.4433    DI1025  
1025.7223    HI1025  
1031.9261   OVI1031  
1036.3367   CII1036  
1037.6167   OVI1037  
1062.662    SIV1062  
1083.990    NII1083  
1117.977     PV1117  
1122.526  FeIII1122  
1128.008     PV1128  
1144.9379  FeII1144  
1190.4158  SiII1190  
1193.2897  SiII1193  
1200.7098    NI1200c 
1206.500  SiIII1206  
1215.3394    DI1215  
1215.6701    HI1215  
1238.821     NV1238  
1242.804     NV1242  
1260.4221  SiII1260  
1264.7377 SiII*1264  
1302.1685    OI1302  
1304.3702  SiII1304  
1334.5323   CII1334  
1335.7077  CII*1335  
1393.755   SiIV1393  
1402.770   SiIV1402  
1526.7066  SiII1526  
1548.195    CIV1548  
1550.770    CIV1550  
1608.4511  FeII1608  
1670.7874  AlII1670  
1808.0130  SiII1808  
1854.7164 AlIII1854  
1862.7895 AlIII1862  
2026.136   ZnII2026  
2344.214   FeII2344  
2374.4612  FeII2374  
2382.765   FeII2382  
2586.6500  FeII2586  
2600.1729  FeII2600  
2796.352   MgII2796  
2803.531   MgII2803  
2852.9642   MgI2852  
3934.777   CaII3934  
3969.591   CaII3969  
5891.5833  NaI5891  
5897.5581  NaI5897  
