wave      tag
6281.727  Tl0.725  
6874.286  Tl0.090  
6885.721  Tl0.332  
6888.182  Tl0.276  
6891.329  Tl0.229  
6894.750  Tl0.208  
6898.348  Tl0.207  
6902.344  Tl0.360  
6906.469  Tl0.404  
6910.895  Tl0.448  
6915.603  Tl0.546  
6920.542  Tl0.607  
6925.638  Tl0.693  
6931.130  Tl0.796  
7183.551  Tl0.754  
7186.487  Tl0.590  
7188.248  Tl0.778  
7189.273  Tl0.667  
7193.644  Tl0.608  
7195.621  Tl0.792  
7202.881  Tl0.631  
7206.218  Tl0.656  
7208.389  Tl0.590  
7234.745  Tl0.662  
7236.658  Tl0.602  
7242.698  Tl0.716  
7245.620  Tl0.672  
7254.937  Tl0.700  
7267.576  Tl0.717  
7274.965  Tl0.731  
7277.396  Tl0.795  
7279.222  Tl0.709  
7292.535  Tl0.777  
7623.325  Tl0.008  
7667.426  Tl0.140  
7673.234  Tl0.329  
7679.192  Tl0.468  
7685.376  Tl0.608  
7691.800  Tl0.729  
8156.123  Tl0.758  
8160.229  Tl0.746  
8164.129  Tl0.689  
8166.807  Tl0.552  
8171.842  Tl0.580  
8179.974  Tl0.522  
8184.077  Tl0.751  
8188.628  Tl0.738  
8191.509  Tl0.524  
8195.364  Tl0.612  
8199.945  Tl0.551  
8220.359  Tl0.785  
8229.202  Tl0.527  
8230.567  Tl0.492  
8231.998  Tl0.773  
8233.648  Tl0.576  
8236.257  Tl0.714  
8245.688  Tl0.678  
8258.770  Tl0.590  
8276.594  Tl0.607  
8284.286  Tl0.703  
8290.229  Tl0.671  
8296.538  Tl0.751  
8302.661  Tl0.796  
8307.140  Tl0.761  
8323.681  Tl0.798  
8968.238  Tl0.795  
8973.894  Tl0.720  
8983.035  Tl0.609  
8992.189  Tl0.529  
9002.813  Tl0.479  
9006.242  Tl0.731  
9014.361  Tl0.659  
9019.105  Tl0.401
