wave flux error
  8.8000e+02  4.2944e-01  6.9537e-02
  8.8105e+02 -6.4409e-02  9.9456e-02
  8.8210e+02  1.4170e-01  1.1578e-01
  8.8315e+02  7.4231e-02  1.5140e-01
  8.8420e+02  3.4599e-01  1.0529e-01
  8.8525e+02  1.3381e-01  6.4376e-02
  8.8630e+02  4.6145e-01  1.1394e-01
  8.8735e+02 -1.3114e-02  9.6470e-02
  8.8841e+02  4.0691e-01  8.0087e-02
  8.8946e+02  1.2249e-01  1.2160e-01
  8.9051e+02  1.4337e-01  8.2639e-02
  8.9156e+02  1.5189e-01  1.4393e-01
  8.9261e+02 -2.1973e-01  1.0851e-01
  8.9366e+02  7.8748e-02  1.0346e-01
  8.9471e+02  1.5363e-01  1.2027e-01
  8.9576e+02  4.6194e-01  6.7355e-02
  8.9681e+02  2.8653e-01  9.5043e-02
  8.9786e+02  2.0425e-01  8.6029e-02
  8.9891e+02  3.4564e-01  5.4135e-02
  8.9996e+02 -3.0640e-02  5.9520e-02
  9.0101e+02  9.9719e-02  4.3699e-02
  9.0206e+02 -1.2065e-01  1.1919e-01
  9.0311e+02 -2.5346e-02  7.8630e-02
  9.0417e+02  2.4157e-01  1.3044e-01
  9.0522e+02  3.9169e-01  9.5119e-02
  9.0627e+02  3.3749e-01  1.4058e-01
  9.0732e+02 -2.8787e-02  1.2741e-01
  9.0837e+02 -3.9692e-02  7.3220e-02
  9.0942e+02  1.3447e-01  6.0643e-02
  9.1047e+02  1.1000e-01  1.0240e-01
  9.1152e+02  2.5887e-01  1.3932e-01
  9.1257e+02  1.0483e-01  1.3439e-01
  9.1362e+02  1.7514e-02  9.0266e-02
  9.1467e+02 -5.9414e-03  1.2559e-01
  9.1572e+02  1.3670e-01  8.3926e-02
  9.1677e+02  1.5975e-01  7.8699e-02
  9.1782e+02  3.9096e-01  1.9127e-01
  9.1887e+02  2.0430e-01  1.1163e-01
  9.1992e+02  3.4323e-01  4.8791e-02
  9.2098e+02  5.3980e-01  1.2486e-01
  9.2203e+02  2.0160e-01  7.8181e-02
  9.2308e+02  3.9457e-01  6.3752e-02
  9.2413e+02  2.3854e-01  5.9768e-02
  9.2518e+02  2.6326e-01  5.4808e-02
  9.2623e+02  3.4662e-01  8.8169e-02
  9.2728e+02  3.1504e-01  1.0756e-01
  9.2833e+02  1.3875e-01  8.6142e-02
  9.2938e+02  2.1222e-01  9.0065e-02
  9.3043e+02  2.7508e-01  7.5199e-02
  9.3148e+02  4.0825e-01  7.6920e-02
  9.3253e+02  2.4921e-01  6.7266e-02
  9.3358e+02  5.1026e-01  6.6267e-02
  9.3463e+02  4.4894e-01  8.8908e-02
  9.3568e+02  3.6651e-01  5.7000e-02
  9.3674e+02  3.1502e-01  1.2061e-01
  9.3779e+02  4.5597e-01  6.4214e-02
  9.3884e+02  3.4795e-01  8.9928e-02
  9.3989e+02  4.6885e-01  8.6510e-02
  9.4094e+02  8.1728e-02  5.7345e-02
  9.4199e+02  3.4451e-01  7.3046e-02
  9.4304e+02  5.7765e-01  6.6766e-02
  9.4409e+02  4.2023e-01  6.3156e-02
  9.4514e+02  1.2099e-01  6.0662e-02
  9.4619e+02  1.3465e-02  5.8145e-02
  9.4724e+02  2.8658e-01  3.9350e-02
  9.4829e+02  2.0525e-01  6.6791e-02
  9.4934e+02  3.2406e-01  4.2731e-02
  9.5039e+02  3.3603e-01  5.6432e-02
  9.5144e+02  4.3378e-01  7.0517e-02
  9.5250e+02  3.9577e-01  9.1281e-02
  9.5355e+02  3.1900e-01  1.1770e-01
