wave flux error
  8.8000e+02  3.6724e-02  1.2314e-01
  8.8105e+02  2.4234e-01  1.0144e-01
  8.8210e+02  1.3463e-01  1.1071e-01
  8.8315e+02  1.1122e-01  1.7972e-01
  8.8420e+02  7.6505e-02  9.9042e-02
  8.8525e+02  9.5564e-02  9.2646e-02
  8.8630e+02  1.0183e-02  4.6775e-02
  8.8735e+02  2.4642e-01  1.0452e-01
  8.8841e+02 -1.3530e-01  5.2839e-02
  8.8946e+02  2.9980e-02  1.1664e-01
  8.9051e+02 -8.2470e-02  3.4938e-02
  8.9156e+02 -1.4041e-01  8.2005e-02
  8.9261e+02  2.0792e-01  6.9872e-02
  8.9366e+02 -3.6137e-02  8.2385e-02
  8.9471e+02 -5.3359e-02  1.0849e-01
  8.9576e+02  5.2002e-02  7.3409e-02
  8.9681e+02 -1.3951e-02  5.7690e-02
  8.9786e+02 -3.9373e-02  8.2560e-02
  8.9891e+02  6.0163e-02  9.6706e-02
  8.9996e+02  1.8647e-01  8.0734e-02
  9.0101e+02  1.2928e-01  6.2634e-02
  9.0206e+02  1.8689e-02  7.3573e-02
  9.0311e+02  5.8496e-02  1.1079e-01
  9.0417e+02  1.0076e-01  9.9094e-02
  9.0522e+02  2.8754e-04  9.6265e-02
  9.0627e+02  1.1463e-01  1.0607e-01
  9.0732e+02  7.3752e-02  9.0880e-02
  9.0837e+02 -7.2964e-02  7.2796e-02
  9.0942e+02  5.0770e-02  7.7494e-02
  9.1047e+02  1.0257e-01  8.5580e-02
  9.1152e+02  1.0996e-01  5.1711e-02
  9.1257e+02  1.1838e-01  1.0515e-01
  9.1362e+02 -5.8363e-02  6.4533e-02
  9.1467e+02 -1.9659e-02  7.2784e-02
  9.1572e+02  1.1926e-01  4.9801e-02
  9.1677e+02  1.1129e-01  5.5364e-02
  9.1782e+02  1.0362e-01  1.3247e-01
  9.1887e+02  2.4653e-02  1.2431e-01
  9.1992e+02  1.0858e-01  6.4294e-02
  9.2098e+02  2.7543e-02  6.0169e-02
  9.2203e+02  8.7354e-02  5.7042e-02
  9.2308e+02 -5.2590e-02  8.0991e-02
  9.2413e+02 -2.6427e-02  3.9196e-02
  9.2518e+02  1.6702e-01  6.8898e-02
  9.2623e+02  4.7690e-02  5.1965e-02
  9.2728e+02  1.4310e-01  5.3385e-02
  9.2833e+02  1.5228e-01  5.8790e-02
  9.2938e+02  1.4980e-01  2.6759e-02
  9.3043e+02  4.5760e-01  7.5981e-02
  9.3148e+02  2.0026e-01  8.8344e-02
  9.3253e+02  1.5076e-01  5.5598e-02
  9.3358e+02  1.7165e-01  4.4452e-02
  9.3463e+02  2.3216e-01  5.2831e-02
  9.3568e+02  1.9660e-01  4.4281e-02
  9.3674e+02  2.9249e-01  5.1847e-02
  9.3779e+02  2.9057e-01  6.0048e-02
  9.3884e+02  1.5462e-01  7.2900e-02
  9.3989e+02  3.8596e-01  6.1193e-02
  9.4094e+02  3.7526e-01  7.0009e-02
  9.4199e+02  3.6382e-01  8.6048e-02
  9.4304e+02  3.9427e-01  3.3866e-02
  9.4409e+02  5.1135e-01  4.9588e-02
  9.4514e+02  9.2533e-02  7.7168e-02
  9.4619e+02  3.1541e-01  7.5205e-02
  9.4724e+02  4.2219e-01  5.3898e-02
  9.4829e+02  7.4312e-02  5.8091e-02
  9.4934e+02  2.2201e-01  7.1461e-02
  9.5039e+02  2.7255e-01  7.6364e-02
  9.5144e+02  4.5445e-01  4.5704e-02
  9.5250e+02  4.3207e-01  8.2953e-02
  9.5355e+02  4.8202e-01  5.7936e-02
  9.5460e+02  3.2471e-01  4.8999e-02
  9.5565e+02  5.2358e-01  5.1927e-02
  9.5670e+02  4.0202e-01  6.8752e-02
  9.5775e+02  3.2311e-01  3.6555e-02
  9.5880e+02  4.3303e-01  5.8200e-02
  9.5985e+02  3.1385e-01  5.9717e-02
  9.6090e+02  4.7754e-01  5.1520e-02
  9.6195e+02  4.3429e-01  7.3051e-02
  9.6300e+02  3.6104e-01  4.2319e-02
  9.6405e+02  4.5663e-01  4.1140e-02
  9.6510e+02  4.1831e-01  5.4396e-02
  9.6615e+02  5.1478e-01  5.5786e-02
  9.6720e+02  2.6583e-01  5.5396e-02
  9.6826e+02  3.9782e-01  4.8239e-02
  9.6931e+02  2.5357e-01  5.4171e-02
  9.7036e+02  2.1532e-01  4.8006e-02
  9.7141e+02  2.7436e-01  4.1140e-02
  9.7246e+02  2.7049e-01  5.6792e-02
  9.7351e+02  2.6596e-01  3.5604e-02
  9.7456e+02  1.2346e-01  5.1279e-02
  9.7561e+02  3.9801e-01  4.9615e-02
  9.7666e+02  1.9288e-01  4.0893e-02
  9.7771e+02  3.3992e-01  4.0470e-02
  9.7876e+02  4.8700e-01  2.9506e-02
  9.7981e+02  4.9635e-01  6.3629e-02
  9.8086e+02  5.4416e-01  6.2871e-02
  9.8191e+02  4.2960e-01  4.8620e-02
  9.8296e+02  4.2824e-01  4.6171e-02
  9.8402e+02  4.3662e-01  5.3407e-02
  9.8507e+02  5.0747e-01  3.9205e-02
  9.8612e+02  2.9531e-01  5.2906e-02
  9.8717e+02  2.8653e-01  6.1925e-02
  9.8822e+02  3.8821e-01  4.6651e-02
  9.8927e+02  3.1417e-01  3.6972e-02
  9.9032e+02  3.3339e-01  4.7538e-02
  9.9137e+02  3.6777e-01  5.1756e-02
  9.9242e+02  4.4378e-01  5.8498e-02
  9.9347e+02  4.5310e-01  5.1068e-02
  9.9452e+02  4.9496e-01  4.3202e-02
  9.9557e+02  5.0591e-01  6.4183e-02
  9.9662e+02  4.8329e-01  4.8785e-02
  9.9767e+02  5.9614e-01  5.0351e-02
  9.9872e+02  5.2121e-01  5.2373e-02
  9.9977e+02  5.3433e-01  5.5102e-02
  1.0008e+03  6.3348e-01  5.2793e-02
  1.0019e+03  5.7306e-01  5.0693e-02
  1.0029e+03  5.5403e-01  4.8664e-02
  1.0040e+03  4.8926e-01  4.9235e-02
  1.0050e+03  5.3767e-01  4.5087e-02
  1.0061e+03  3.0359e-01  4.1681e-02
  1.0071e+03  5.0498e-01  5.3904e-02
  1.0082e+03  4.5320e-01  6.6210e-02
  1.0092e+03  5.8644e-01  5.8460e-02
  1.0103e+03  4.7825e-01  4.8148e-02
  1.0113e+03  5.0294e-01  4.5783e-02
  1.0124e+03  5.3456e-01  6.8505e-02
  1.0134e+03  6.4990e-01  4.6190e-02
  1.0145e+03  4.6756e-01  5.8871e-02
  1.0155e+03  3.5803e-01  5.1428e-02
  1.0166e+03  3.3419e-01  4.4844e-02
  1.0176e+03  4.8578e-01  7.2626e-02
  1.0187e+03  4.8806e-01  3.6870e-02
  1.0197e+03  3.4458e-01  6.0115e-02
  1.0208e+03  2.6668e-01  5.0681e-02
  1.0218e+03  2.2890e-01  4.6417e-02
  1.0229e+03  2.4481e-01  4.5615e-02
  1.0239e+03  2.4757e-01  5.7386e-02
  1.0250e+03  1.5290e-01  5.6214e-02
  1.0260e+03  1.7855e-01  4.3084e-02
  1.0271e+03  3.6690e-01  3.8604e-02
  1.0281e+03  3.8917e-01  3.6564e-02
  1.0292e+03  3.1517e-01  4.8494e-02
  1.0302e+03  3.1423e-01  3.7140e-02
  1.0313e+03  3.9347e-01  3.7494e-02
  1.0323e+03  3.7913e-01  4.0324e-02
  1.0334e+03  4.1931e-01  4.4278e-02
  1.0344e+03  3.6062e-01  6.5511e-02
  1.0355e+03  3.8754e-01  5.9951e-02
  1.0365e+03  5.6065e-01  4.2231e-02
  1.0376e+03  5.1177e-01  4.8284e-02
  1.0386e+03  4.2675e-01  4.6552e-02
  1.0397e+03  3.6860e-01  5.9196e-02
  1.0408e+03  6.1345e-01  7.2122e-02
  1.0418e+03  5.8051e-01  5.5553e-02
  1.0429e+03  6.5293e-01  3.7638e-02
  1.0439e+03  7.8671e-01  5.5790e-02
  1.0450e+03  5.9699e-01  3.7147e-02
  1.0460e+03  6.5768e-01  5.6996e-02
  1.0471e+03  5.7986e-01  5.3509e-02
  1.0481e+03  6.8792e-01  4.5084e-02
  1.0492e+03  6.0458e-01  6.2194e-02
  1.0502e+03  6.4137e-01  5.6986e-02
  1.0513e+03  6.8531e-01  3.2459e-02
  1.0523e+03  6.4350e-01  3.4314e-02
  1.0534e+03  6.3246e-01  6.7238e-02
  1.0544e+03  7.3201e-01  5.3928e-02
  1.0555e+03  6.3668e-01  3.0997e-02
  1.0565e+03  6.4089e-01  5.9414e-02
  1.0576e+03  8.3390e-01  4.8368e-02
  1.0586e+03  7.0108e-01  5.5960e-02
  1.0597e+03  6.9581e-01  3.7125e-02
  1.0607e+03  7.6288e-01  3.9446e-02
  1.0618e+03  5.2109e-01  4.9001e-02
  1.0628e+03  6.0993e-01  4.9580e-02
  1.0639e+03  6.6250e-01  5.0023e-02
  1.0649e+03  5.6451e-01  4.6659e-02
  1.0660e+03  6.4269e-01  5.2168e-02
  1.0670e+03  5.9539e-01  4.5507e-02
  1.0681e+03  6.7996e-01  4.0289e-02
  1.0691e+03  6.9180e-01  3.0597e-02
  1.0702e+03  6.2749e-01  3.0387e-02
  1.0712e+03  7.1212e-01  5.3127e-02
  1.0723e+03  7.5171e-01  5.1621e-02
  1.0733e+03  6.3248e-01  4.8412e-02
  1.0744e+03  7.3156e-01  5.9945e-02
